Site,DATE,TIME,AUTO ID*
RECCON,4/11/2021,19:50:00,EPTFUS
RECCON,4/11/2021,22:44:15,LASBOR
RECCON,4/11/2021,22:48:11,LASBOR
RECCON,4/11/2021,20:20:09,LASBOR
RECCON,4/11/2021,20:13:12,NoID
RECCON,4/11/2021,20:45:40,NoID
RECCON,4/11/2021,19:54:44,NoID
RECCON,4/11/2021,20:58:17,NoID
RECCON,4/11/2021,21:01:29,NoID
RECCON,4/11/2021,21:25:36,NoID
RECCON,4/11/2021,21:27:00,NoID
RECCON,4/11/2021,22:28:05,NoID
RECCON,4/11/2021,22:41:05,NoID
RECCON,4/12/2021,1:27:14,LASBOR
RECCON,4/12/2021,2:46:22,LASBOR
RECCON,4/12/2021,2:42:24,LASBOR
RECCON,4/12/2021,1:22:59,LASBOR
RECCON,4/12/2021,22:42:47,LASBOR
RECCON,4/12/2021,0:49:52,LASBOR
RECCON,4/12/2021,20:02:20,LASBOR
RECCON,4/12/2021,3:02:26,LASBOR
RECCON,4/12/2021,0:49:35,NoID
RECCON,4/12/2021,1:02:50,NoID
RECCON,4/12/2021,1:58:15,NoID
RECCON,4/12/2021,1:59:35,NoID
RECCON,4/12/2021,2:32:49,NoID
RECCON,4/12/2021,2:39:43,NoID
RECCON,4/12/2021,3:09:02,NoID
RECCON,4/12/2021,23:33:45,NoID
RECCON,4/12/2021,23:20:44,NoID
RECCON,4/12/2021,20:40:11,NoID
RECCON,4/12/2021,20:24:46,NoID
RECCON,4/12/2021,20:22:56,NoID
RECCON,4/12/2021,19:57:10,NoID
RECCON,4/12/2021,19:52:11,NoID
RECCON,4/12/2021,20:49:54,NYCHUM
RECCON,4/12/2021,3:35:11,NYCHUM
RECCON,4/12/2021,20:24:27,NYCHUM
RECCON,4/12/2021,1:31:22,NYCHUM
RECCON,4/12/2021,0:51:06,PERSUB
RECCON,4/12/2021,0:32:38,PERSUB
RECCON,4/13/2021,0:25:16,LASBOR
RECCON,4/13/2021,19:57:16,LASNOC
RECCON,4/13/2021,23:36:27,NoID
RECCON,4/13/2021,0:25:38,NoID
RECCON,4/13/2021,3:00:17,NoID
RECCON,4/13/2021,3:12:45,NoID
RECCON,4/13/2021,20:13:57,NoID
RECCON,4/13/2021,23:52:53,NoID
RECCON,4/13/2021,2:01:56,NYCHUM
RECCON,4/13/2021,0:57:19,PERSUB
RECCON,4/14/2021,20:36:44,EPTFUS
RECCON,4/14/2021,20:28:08,EPTFUS
RECCON,4/14/2021,22:06:27,EPTFUS
RECCON,4/14/2021,23:26:06,LASBOR
RECCON,4/14/2021,22:55:41,LASBOR
RECCON,4/14/2021,23:17:00,LASBOR
RECCON,4/14/2021,0:45:02,LASBOR
RECCON,4/14/2021,0:26:52,LASBOR
RECCON,4/14/2021,1:53:54,LASBOR
RECCON,4/14/2021,5:53:23,LASCIN
RECCON,4/14/2021,1:39:17,NoID
RECCON,4/14/2021,2:35:37,NoID
RECCON,4/14/2021,2:55:14,NoID
RECCON,4/14/2021,2:59:43,NoID
RECCON,4/14/2021,4:24:06,NoID
RECCON,4/14/2021,23:37:48,NoID
RECCON,4/14/2021,23:10:00,NoID
RECCON,4/14/2021,23:05:38,NoID
RECCON,4/14/2021,22:01:53,NoID
RECCON,4/14/2021,20:57:37,NoID
RECCON,4/14/2021,20:49:39,NoID
RECCON,4/14/2021,20:45:25,NYCHUM
RECCON,4/14/2021,1:30:04,NYCHUM
RECCON,4/14/2021,2:50:08,NYCHUM
RECCON,4/14/2021,2:37:18,NYCHUM
RECCON,4/14/2021,23:52:28,NYCHUM
RECCON,4/15/2021,20:37:04,EPTFUS
RECCON,4/15/2021,1:06:29,LASBOR
RECCON,4/15/2021,2:17:31,LASBOR
RECCON,4/15/2021,5:10:15,NoID
RECCON,4/15/2021,5:14:32,NoID
RECCON,4/15/2021,3:57:36,NoID
RECCON,4/15/2021,3:24:15,NoID
RECCON,4/15/2021,2:00:27,NoID
RECCON,4/15/2021,1:58:01,NoID
RECCON,4/15/2021,20:13:27,NoID
RECCON,4/15/2021,20:19:42,NoID
RECCON,4/15/2021,3:13:40,NoID
RECCON,4/15/2021,5:14:39,NYCHUM
RECCON,4/15/2021,5:19:28,NYCHUM
RECCON,4/15/2021,5:13:22,NYCHUM
RECCON,4/15/2021,5:09:23,NYCHUM
RECCON,4/15/2021,5:12:08,NYCHUM
RECCON,4/15/2021,1:52:53,PERSUB
RECCON,4/15/2021,1:53:42,PERSUB
RECCON,4/16/2021,20:36:46,LASCIN
RECCON,4/16/2021,5:45:51,LASCIN
RECCON,4/16/2021,22:41:35,NoID
RECCON,4/17/2021,1:27:50,PERSUB
RECCON,4/18/2021,1:01:51,EPTFUS
RECCON,4/18/2021,5:14:43,LASCIN
RECCON,4/18/2021,5:14:05,LASCIN
RECCON,4/18/2021,21:10:23,NoID
RECCON,4/18/2021,20:15:33,NoID
RECCON,4/18/2021,2:09:25,NoID
RECCON,4/18/2021,2:44:58,NYCHUM
RECCON,4/18/2021,0:40:41,PERSUB
RECCON,4/18/2021,22:00:46,PERSUB
RECCON,4/19/2021,21:00:24,EPTFUS
RECCON,4/19/2021,20:47:01,NoID
RECCON,4/19/2021,19:56:21,NoID
RECCON,4/20/2021,20:20:18,EPTFUS
RECCON,4/20/2021,6:25:15,LASNOC
RECCON,4/20/2021,6:27:19,LASNOC
RECCON,4/20/2021,22:40:19,NoID
RECCON,4/20/2021,20:57:27,NoID
RECCON,4/20/2021,20:27:45,NoID
RECCON,4/20/2021,20:05:42,NoID
RECCON,4/20/2021,20:05:23,NoID
RECCON,4/20/2021,19:57:08,NoID
RECCON,4/21/2021,1:54:53,LASCIN
RECCON,4/21/2021,2:45:40,NoID
RECCON,4/21/2021,3:52:42,NoID
RECCON,4/21/2021,4:45:01,NYCHUM
RECCON,4/22/2021,22:35:38,LASCIN
RECCON,4/22/2021,22:39:37,LASCIN
RECCON,4/22/2021,21:05:22,NoID
RECCON,4/22/2021,21:35:45,TADBRA
RECCON,4/23/2021,20:51:25,LASBOR
RECCON,4/23/2021,0:55:45,LASCIN
RECCON,4/23/2021,23:25:14,TADBRA
RECCON,4/24/2021,21:49:44,EPTFUS
RECCON,4/26/2021,22:04:18,EPTFUS
RECCON,4/26/2021,20:16:26,EPTFUS
RECCON,4/26/2021,22:56:39,EPTFUS
RECCON,4/26/2021,20:32:16,EPTFUS
RECCON,4/26/2021,23:05:06,NoID
RECCON,4/27/2021,21:33:08,EPTFUS
RECCON,4/27/2021,21:30:31,EPTFUS
RECCON,4/27/2021,21:55:10,EPTFUS
RECCON,4/27/2021,21:27:19,EPTFUS
RECCON,4/27/2021,22:23:59,EPTFUS
RECCON,4/27/2021,22:29:56,EPTFUS
RECCON,4/27/2021,23:43:10,EPTFUS
RECCON,4/27/2021,21:29:21,EPTFUS
RECCON,4/27/2021,23:36:35,LASBOR
RECCON,4/27/2021,23:07:53,LASBOR
RECCON,4/27/2021,23:06:57,LASNOC
RECCON,4/27/2021,21:30:06,NoID
RECCON,4/27/2021,22:42:42,NoID
RECCON,4/27/2021,23:26:35,NoID
RECCON,4/28/2021,20:50:38,EPTFUS
RECCON,4/28/2021,1:43:14,EPTFUS
RECCON,4/28/2021,3:04:54,EPTFUS
RECCON,4/28/2021,4:16:01,EPTFUS
RECCON,4/28/2021,1:41:35,EPTFUS
RECCON,4/28/2021,23:31:44,EPTFUS
RECCON,4/28/2021,23:34:02,EPTFUS
RECCON,4/28/2021,23:58:11,EPTFUS
RECCON,4/28/2021,0:46:19,EPTFUS
RECCON,4/28/2021,4:15:05,LASCIN
RECCON,4/28/2021,22:23:58,LASNOC
RECCON,4/28/2021,0:33:43,LASNOC
RECCON,4/28/2021,22:41:28,LASNOC
RECCON,4/28/2021,4:23:38,NoID
RECCON,4/28/2021,22:19:38,NoID
RECCON,4/28/2021,4:19:25,NoID
RECCON,4/28/2021,1:39:01,NoID
RECCON,4/28/2021,0:24:03,NoID
RECCON,4/28/2021,21:03:15,NoID
RECCON,4/28/2021,3:16:51,NoID
RECCON,4/28/2021,21:01:28,NoID
RECCON,4/28/2021,20:55:40,NoID
RECCON,4/28/2021,20:35:21,NoID
RECCON,4/28/2021,0:17:43,NoID
RECCON,4/28/2021,0:09:19,NoID
RECCON,4/28/2021,0:46:57,NYCHUM
RECCON,4/28/2021,20:27:25,PERSUB
RECCON,4/29/2021,23:52:09,EPTFUS
RECCON,4/29/2021,22:18:28,EPTFUS
RECCON,4/29/2021,22:34:14,EPTFUS
RECCON,4/29/2021,3:55:47,EPTFUS
RECCON,4/29/2021,0:35:37,EPTFUS
RECCON,4/29/2021,23:43:49,EPTFUS
RECCON,4/29/2021,4:45:18,EPTFUS
RECCON,4/29/2021,0:45:10,EPTFUS
RECCON,4/29/2021,3:59:21,EPTFUS
RECCON,4/29/2021,20:10:45,EPTFUS
RECCON,4/29/2021,20:43:48,LASBOR
RECCON,4/29/2021,20:44:57,LASBOR
RECCON,4/29/2021,4:03:03,LASCIN
RECCON,4/29/2021,1:49:40,NoID
RECCON,4/29/2021,2:18:47,NoID
RECCON,4/29/2021,3:10:31,NoID
RECCON,4/29/2021,4:11:04,NoID
RECCON,4/29/2021,4:27:52,NoID
RECCON,4/29/2021,22:41:12,NoID
RECCON,4/29/2021,22:22:16,NoID
RECCON,4/29/2021,20:22:41,NoID
RECCON,4/29/2021,21:33:00,NoID
RECCON,4/29/2021,20:42:45,NoID
RECCON,4/29/2021,23:53:19,NoID
RECCON,4/29/2021,21:16:23,NoID
RECCON,4/29/2021,23:42:55,NoID
RECCON,4/29/2021,5:15:29,NoID
RECCON,4/29/2021,21:02:53,NYCHUM
RECCON,4/29/2021,20:51:37,NYCHUM
RECCON,4/29/2021,21:31:30,NYCHUM
RECCON,4/29/2021,4:21:42,NYCHUM
RECCON,4/29/2021,21:12:41,NYCHUM
RECCON,4/29/2021,3:08:12,TADBRA
RECCON,4/30/2021,22:33:54,EPTFUS
RECCON,4/30/2021,22:27:04,EPTFUS
RECCON,4/30/2021,0:52:14,LASBOR
RECCON,4/30/2021,23:20:51,LASBOR
RECCON,4/30/2021,1:58:46,LASNOC
RECCON,4/30/2021,22:40:35,LASNOC
RECCON,4/30/2021,2:26:52,NoID
RECCON,4/30/2021,2:27:54,NoID
RECCON,4/30/2021,2:45:27,NoID
RECCON,4/30/2021,2:57:34,NoID
RECCON,4/30/2021,3:22:38,NoID
RECCON,4/30/2021,0:54:25,NoID
RECCON,4/30/2021,4:28:33,NoID
RECCON,4/30/2021,21:28:25,NoID
RECCON,4/30/2021,21:34:09,NoID
RECCON,4/30/2021,21:20:20,NoID
RECCON,4/30/2021,21:39:22,NoID
RECCON,4/30/2021,21:44:51,NoID
RECCON,4/30/2021,22:35:01,NoID
RECCON,4/30/2021,23:19:25,NoID
RECCON,4/30/2021,23:38:50,NoID
RECCON,4/30/2021,5:01:51,NYCHUM
RECCON,4/30/2021,4:32:09,NYCHUM
RECCON,4/30/2021,4:30:04,NYCHUM
RECCON,4/30/2021,23:11:28,NYCHUM
RECCON,4/30/2021,21:31:00,NYCHUM
RECCON,4/30/2021,22:56:30,NYCHUM
RECCON,4/30/2021,21:08:23,NYCHUM
RECCON,4/30/2021,23:25:28,NYCHUM
RECCON,4/30/2021,22:01:16,NYCHUM
RECCON,4/30/2021,23:23:27,PERSUB
